instance,status,final_ub_cert,refine_ub_float,ub_decimal_strict,ub_decimal_with_tol,lag_float,lag_decimal_str,passes_strict,passes_tol,required_eps_safeguard,delta_float,delta_decimal
C_n070_023_a25_067,PASS,1632,1632,1632,1632,1632.580543,1632.580543,True,True,False,0.580543,0.580543
C_n070_023_a50_068,PASS,2305,2305,2305,2305,2305.510912,2305.510912,True,True,False,0.510912,0.510912
C_n070_023_a75_069,PASS,2359,2359,2359,2359,2359.0,2359.000000,True,True,False,0.0,0.0
C_n070_024_a25_070,PASS,2046,2046,2046,2046,2046.0,2046.000000,True,True,False,0.0,0.0
C_n070_024_a50_071,PASS,2863,2863,2863,2863,2863.0,2863.000000,True,True,False,0.0,0.0
C_n070_024_a75_072,PASS,3009,3009,3009,3009,3009.0,3009.000000,True,True,False,0.0,0.0
C_n070_025_a25_073,PASS,1680,1680,1680,1680,1680.0,1680.000000,True,True,False,0.0,0.0
C_n070_025_a50_074,PASS,2449,2449,2449,2449,2449.0,2449.000000,True,True,False,0.0,0.0
C_n070_025_a75_075,PASS,2601,2601,2601,2601,2601.0,2601.000000,True,True,False,0.0,0.0
C_n075_026_a25_076,PASS,1316,1316,1316,1316,1316.001182,1316.001182,True,True,False,0.001182,0.001182
C_n075_026_a50_077,PASS,1977,1977,1977,1977,1977.00112,1977.001120,True,True,False,0.00112,0.00112
C_n075_026_a75_078,PASS,2055,2055,2055,2055,2055.0,2055.000000,True,True,False,0.0,0.0
C_n075_027_a25_079,PASS,1618,1618,1618,1618,1618.0,1618.000000,True,True,False,0.0,0.0
C_n075_027_a50_080,PASS,2185,2185,2185,2185,2185.037409,2185.037409,True,True,False,0.037409,0.037409
C_n075_027_a75_081,PASS,2232,2232,2232,2232,2232.0,2232.000000,True,True,False,0.0,0.0
C_n075_028_a25_082,PASS,1833,1833,1833,1833,1833.669723,1833.669723,True,True,False,0.669723,0.669723
C_n075_028_a50_083,PASS,2538,2538,2538,2538,2538.0,2538.000000,True,True,False,0.0,0.0
C_n075_028_a75_084,PASS,2582,2582,2582,2582,2582.0,2582.000000,True,True,False,0.0,0.0
C_n075_029_a25_085,PASS,2168,2168,2168,2168,2168.000009,2168.000009,True,True,False,9e-06,9e-06
C_n075_029_a50_086,PASS,3004,3004,3004,3004,3004.0,3004.000000,True,True,False,0.0,0.0
C_n075_029_a75_087,PASS_NEEDS_EPS,3223,3223,3222,3223,3223.0,3223.000000,False,True,True,-0.0,-0.0
C_n075_030_a25_088,PASS,1777,1777,1777,1777,1777.219379,1777.219379,True,True,False,0.219379,0.219379
C_n075_030_a50_089,PASS,2568,2568,2568,2568,2568.0,2568.000000,True,True,False,0.0,0.0
C_n075_030_a75_090,PASS,2722,2722,2722,2722,2722.0,2722.000000,True,True,False,0.0,0.0
C_n080_031_a25_091,PASS,1515,1515,1515,1515,1515.348232,1515.348232,True,True,False,0.348232,0.348232
C_n080_031_a50_092,PASS,2287,2287,2287,2287,2287.001114,2287.001114,True,True,False,0.001114,0.001114
C_n080_031_a75_093,PASS,2365,2365,2365,2365,2365.0,2365.000000,True,True,False,0.0,0.0
C_n080_032_a25_094,PASS,1747,1747,1747,1747,1747.0,1747.000000,True,True,False,0.0,0.0
C_n080_032_a50_095,PASS,2404,2404,2404,2404,2404.026073,2404.026073,True,True,False,0.026073,0.026073
C_n080_032_a75_096,PASS,2461,2461,2461,2461,2461.0,2461.000000,True,True,False,0.0,0.0
C_n080_033_a25_097,PASS,2033,2033,2033,2033,2033.661363,2033.661363,True,True,False,0.661363,0.661363
C_n080_033_a50_098,PASS,2748,2748,2748,2748,2748.0,2748.000000,True,True,False,0.0,0.0
C_n080_033_a75_099,PASS,2803,2803,2803,2803,2803.0,2803.000000,True,True,False,0.0,0.0
C_n080_034_a25_100,PASS,2268,2268,2268,2268,2268.00034,2268.000340,True,True,False,0.00034,0.00034
C_n080_034_a50_101,PASS,3205,3205,3205,3205,3205.511997,3205.511997,True,True,False,0.511997,0.511997
C_n080_034_a75_102,PASS_NEEDS_EPS,3426,3426,3425,3426,3426.0,3426.000000,False,True,True,-0.0,-0.0
C_n080_035_a25_103,PASS,1898,1898,1898,1898,1898.016194,1898.016194,True,True,False,0.016194,0.016194
C_n080_035_a50_104,PASS,2779,2779,2779,2779,2779.027166,2779.027166,True,True,False,0.027166,0.027166
C_n080_035_a75_105,PASS,2934,2934,2934,2934,2934.0,2934.000000,True,True,False,0.0,0.0
D_n040_001_a25_001,PASS,715,715,715,715,715.0,715.000000,True,True,False,0.0,0.0
D_n040_001_a50_002,PASS,970,970,970,970,970.0,970.000000,True,True,False,0.0,0.0
D_n040_001_a75_003,PASS_NEEDS_EPS,1203,1203,1202,1203,1203.0,1203.000000,False,True,True,-0.0,-0.0
D_n040_002_a25_004,PASS,352,352,352,352,352.0,352.000000,True,True,False,0.0,0.0
D_n040_002_a50_005,PASS,894,894,894,894,894.0,894.000000,True,True,False,0.0,0.0
D_n040_002_a75_006,PASS,1137,1137,1137,1137,1137.0,1137.000000,True,True,False,0.0,0.0
D_n040_003_a25_007,PASS,563,563,563,563,563.0,563.000000,True,True,False,0.0,0.0
D_n040_003_a50_008,PASS,1023,1023,1023,1023,1023.0,1023.000000,True,True,False,0.0,0.0
D_n040_003_a75_009,PASS,1149,1149,1149,1149,1149.0,1149.000000,True,True,False,0.0,0.0
D_n040_004_a25_010,PASS,723,723,723,723,723.0,723.000000,True,True,False,0.0,0.0
D_n040_004_a50_011,PASS,1374,1374,1374,1374,1374.0,1374.000000,True,True,False,0.0,0.0
D_n040_004_a75_012,PASS_NEEDS_EPS,1537,1537,1536,1537,1537.0,1537.000000,False,True,True,-0.0,-0.0
D_n040_005_a25_013,PASS,837,837,837,837,837.0,837.000000,True,True,False,0.0,0.0
D_n040_005_a50_014,PASS,1351,1351,1351,1351,1351.0,1351.000000,True,True,False,0.0,0.0
D_n040_005_a75_015,PASS,1467,1467,1467,1467,1467.0,1467.000000,True,True,False,0.0,0.0
D_n045_006_a25_016,PASS,745,745,745,745,745.0,745.000000,True,True,False,0.0,0.0
D_n045_006_a50_017,PASS,1208,1208,1208,1208,1208.0,1208.000000,True,True,False,0.0,0.0
D_n045_006_a75_018,PASS,1245,1245,1245,1245,1245.0,1245.000000,True,True,False,0.0,0.0
D_n045_007_a25_019,PASS,662,662,662,662,662.0,662.000000,True,True,False,0.0,0.0
D_n045_007_a50_020,PASS,1105,1105,1105,1105,1105.0,1105.000000,True,True,False,0.0,0.0
D_n045_007_a75_021,PASS,1369,1369,1369,1369,1369.0,1369.000000,True,True,False,0.0,0.0
D_n045_008_a25_022,PASS,953,953,953,953,953.0,953.000000,True,True,False,0.0,0.0
D_n045_008_a50_023,PASS,1337,1337,1337,1337,1337.0,1337.000000,True,True,False,0.0,0.0
D_n045_008_a75_024,PASS,1483,1483,1483,1483,1483.0,1483.000000,True,True,False,0.0,0.0
D_n045_009_a25_025,PASS,936,936,936,936,936.000015,936.000015,True,True,False,1.5e-05,1.5e-05
D_n045_009_a50_026,PASS,1528,1528,1528,1528,1528.0,1528.000000,True,True,False,0.0,0.0
D_n045_009_a75_027,PASS,1651,1651,1651,1651,1651.0,1651.000000,True,True,False,0.0,0.0
D_n045_010_a25_028,PASS,957,957,957,957,957.0,957.000000,True,True,False,0.0,0.0
D_n045_010_a50_029,PASS,1462,1462,1462,1462,1462.0,1462.000000,True,True,False,0.0,0.0
D_n045_010_a75_030,PASS,1613,1613,1613,1613,1613.0,1613.000000,True,True,False,0.0,0.0
D_n050_011_a25_031,PASS,952,952,952,952,952.0,952.000000,True,True,False,0.0,0.0
D_n050_011_a50_032,PASS,1418,1418,1418,1418,1418.0,1418.000000,True,True,False,0.0,0.0
D_n050_011_a75_033,PASS,1464,1464,1464,1464,1464.0,1464.000000,True,True,False,0.0,0.0
D_n050_012_a25_034,PASS,753,753,753,753,753.0,753.000000,True,True,False,0.0,0.0
D_n050_012_a50_035,PASS,1216,1216,1216,1216,1216.0,1216.000000,True,True,False,0.0,0.0
D_n050_012_a75_036,PASS,1478,1478,1478,1478,1478.512328,1478.512328,True,True,False,0.512328,0.512328
D_n050_013_a25_037,PASS,963,963,963,963,963.0,963.000000,True,True,False,0.0,0.0
D_n050_013_a50_038,PASS,1349,1349,1349,1349,1349.0,1349.000000,True,True,False,0.0,0.0
D_n050_013_a75_039,PASS,1593,1593,1593,1593,1593.0,1593.000000,True,True,False,0.0,0.0
D_n050_014_a25_040,PASS,1136,1136,1136,1136,1136.000004,1136.000004,True,True,False,4e-06,4e-06
D_n050_014_a50_041,PASS,1809,1809,1809,1809,1809.000001,1809.000001,True,True,False,1e-06,1e-06
D_n050_014_a75_042,PASS,2061,2061,2061,2061,2061.0,2061.000000,True,True,False,0.0,0.0
D_n050_015_a25_043,PASS,968,968,968,968,968.000109,968.000109,True,True,False,0.000109,0.000109
D_n050_015_a50_044,PASS,1591,1591,1591,1591,1591.0,1591.000000,True,True,False,0.0,0.0
D_n050_015_a75_045,PASS,1635,1635,1635,1635,1635.0,1635.000000,True,True,False,0.0,0.0
D_n055_016_a25_046,PASS,984,984,984,984,984.00059,984.000590,True,True,False,0.00059,0.00059
D_n055_016_a50_047,PASS,1449,1449,1449,1449,1449.0,1449.000000,True,True,False,0.0,0.0
D_n055_016_a75_048,PASS,1491,1491,1491,1491,1491.0,1491.000000,True,True,False,0.0,0.0
D_n055_017_a25_049,PASS,773,773,773,773,773.0,773.000000,True,True,False,0.0,0.0
D_n055_017_a50_050,PASS,1337,1337,1337,1337,1337.0,1337.000000,True,True,False,0.0,0.0
D_n055_017_a75_051,PASS,1609,1609,1609,1609,1609.5116,1609.511600,True,True,False,0.5116,0.5116
D_n055_018_a25_052,PASS,973,973,973,973,973.000011,973.000011,True,True,False,1.1e-05,1.1e-05
D_n055_018_a50_053,PASS,1368,1368,1368,1368,1368.0,1368.000000,True,True,False,0.0,0.0
D_n055_018_a75_054,PASS,1614,1614,1614,1614,1614.0,1614.000000,True,True,False,0.0,0.0
D_n055_019_a25_055,PASS,1147,1147,1147,1147,1147.000017,1147.000017,True,True,False,1.7e-05,1.7e-05
D_n055_019_a50_056,PASS,1920,1920,1920,1920,1920.50857,1920.508570,True,True,False,0.50857,0.50857
