instance,family,n,K,alpha,gap,distance,tier
D_n060_023_a50_068,D,60,4,0.5,0.231495,Line,<0.5%
D_n060_023_a75_069,D,60,4,0.75,0.148662,Line,<0.5%
D_n060_024_a25_070,D,60,4,0.25,0.771015,Line,0.5-1%
D_n060_024_a50_071,D,60,4,0.5,0.960014,Line,0.5-1%
D_n060_024_a75_072,D,60,4,0.75,0.0,Line,exact
D_n060_025_a25_073,D,60,4,0.25,0.313319,Line,<0.5%
D_n060_025_a50_074,D,60,4,0.5,1.261093,Line,1-2%
D_n060_025_a75_075,D,60,4,0.75,0.0,Line,exact
D_n065_026_a25_076,D,65,4,0.25,0.151668,Line,<0.5%
D_n065_026_a50_077,D,65,4,0.5,1.308411,Line,1-2%
D_n065_026_a75_078,D,65,4,0.75,0.512874,Line,0.5-1%
D_n065_027_a25_079,D,65,4,0.25,0.887842,Line,0.5-1%
D_n065_027_a50_080,D,65,4,0.5,0.732845,Line,0.5-1%
D_n065_027_a75_081,D,65,4,0.75,0.16095,Line,<0.5%
D_n065_028_a25_082,D,65,4,0.25,0.374586,Line,<0.5%
D_n065_028_a50_083,D,65,4,0.5,0.045641,Line,<0.5%
D_n065_028_a75_084,D,65,4,0.75,0.102411,Line,<0.5%
D_n065_029_a25_085,D,65,4,0.25,0.822996,Line,0.5-1%
D_n065_029_a50_086,D,65,4,0.5,1.050081,Line,1-2%
D_n065_029_a75_087,D,65,4,0.75,0.057703,Line,<0.5%
D_n065_030_a25_088,D,65,4,0.25,0.811963,Line,0.5-1%
D_n065_030_a50_089,D,65,4,0.5,0.890585,Line,0.5-1%
D_n065_030_a75_090,D,65,4,0.75,0.167317,Line,<0.5%
D_n070_031_a25_091,D,70,4,0.25,0.047,Line,<0.5%
D_n070_031_a50_092,D,70,4,0.5,1.501185,Line,1-2%
D_n070_031_a75_093,D,70,4,0.75,0.566426,Line,0.5-1%
D_n070_032_a25_094,D,70,4,0.25,1.385224,Line,1-2%
D_n070_032_a50_095,D,70,4,0.5,0.63535,Line,0.5-1%
