instance,family,seed,iters,obj_adaptive,obj_frozen,delta,s_adaptive,s_frozen,d_weights_adaptive,r_weights_adaptive,d_usage_adaptive,r_usage_adaptive,d_usage_frozen,r_usage_frozen,acc_worse_adaptive,acc_worse_frozen,isolation_leak,error
D_n065_027_a50_080,D,2024,200,1786.0,1787.0,-1.0,336.55,416.18,"[5.2119, 7.5901, 5.1445]","[7.8606, 6.6469, 5.344, 4.0695]","[57, 73, 70]","[61, 60, 36, 43]","[65, 64, 71]","[55, 54, 48, 43]",133,141,,
D_n065_028_a25_082,D,42,200,1383.0,1383.0,0.0,98.0,98.65,"[4.8316, 7.6315, 5.2579]","[7.5121, 6.9983, 5.4668, 4.7656]","[56, 83, 61]","[51, 54, 50, 45]","[67, 63, 70]","[53, 54, 54, 39]",147,144,,
D_n065_028_a25_082,D,123,200,1383.0,1383.0,0.0,88.43,85.05,"[5.71, 7.6226, 5.6846]","[7.5953, 6.8075, 6.1253, 4.3327]","[62, 73, 65]","[67, 51, 42, 40]","[65, 71, 64]","[51, 56, 48, 45]",142,146,,
D_n065_028_a25_082,D,456,200,1383.0,1382.0,1.0,94.29,113.75,"[5.6219, 7.3342, 4.7161]","[7.1447, 6.6549, 5.0802, 5.9874]","[66, 87, 47]","[51, 50, 43, 56]","[70, 65, 65]","[40, 45, 53, 62]",146,147,,
D_n065_028_a25_082,D,789,200,1383.0,1383.0,0.0,95.04,103.75,"[5.5624, 7.4632, 6.3784]","[7.3221, 6.2309, 5.706, 6.3627]","[55, 75, 70]","[54, 51, 45, 50]","[72, 63, 65]","[51, 47, 55, 47]",153,146,,
D_n065_028_a25_082,D,1337,200,1383.0,1383.0,0.0,95.01,91.38,"[6.064, 7.6666, 5.7067]","[7.57, 7.2897, 5.6111, 4.7694]","[75, 70, 55]","[61, 58, 48, 33]","[73, 69, 58]","[47, 53, 51, 49]",150,137,,
D_n065_028_a25_082,D,2024,200,1383.0,1383.0,0.0,88.21,95.83,"[6.3069, 7.1787, 5.9748]","[7.2913, 7.2187, 5.1817, 5.27]","[51, 71, 78]","[68, 53, 41, 38]","[64, 62, 74]","[56, 48, 47, 49]",163,153,,
D_n065_030_a25_088,D,42,200,1698.0,1698.0,0.0,300.9,355.8,"[6.0045, 7.3587, 6.2652]","[7.6244, 7.3264, 5.7511, 4.7985]","[49, 74, 77]","[61, 62, 48, 29]","[66, 55, 79]","[41, 49, 60, 50]",159,145,,
D_n065_030_a25_088,D,123,200,1697.0,1698.0,-1.0,249.54,311.49,"[6.8687, 7.122, 5.8138]","[7.3113, 7.3716, 5.3072, 5.904]","[62, 74, 64]","[68, 52, 39, 41]","[68, 59, 73]","[64, 46, 50, 40]",161,150,,
D_n065_030_a25_088,D,456,200,1698.0,1698.0,0.0,278.13,245.76,"[5.4189, 7.1024, 6.7733]","[7.4695, 6.9487, 5.66, 5.662]","[58, 76, 66]","[49, 67, 38, 46]","[63, 73, 64]","[48, 58, 36, 58]",163,158,,
D_n065_030_a25_088,D,789,200,1698.0,1698.0,0.0,266.84,301.97,"[5.8509, 7.1687, 6.4107]","[6.7524, 7.3968, 5.092, 6.1966]","[67, 73, 60]","[57, 62, 42, 39]","[65, 71, 64]","[50, 57, 52, 41]",166,155,,
D_n065_030_a25_088,D,1337,200,1697.0,1687.0,10.0,282.11,269.05,"[6.2501, 7.4606, 6.645]","[7.0692, 7.153, 6.4631, 6.3781]","[71, 61, 68]","[42, 53, 48, 57]","[72, 57, 71]","[53, 49, 49, 49]",153,162,,
D_n065_030_a25_088,D,2024,200,1698.0,1698.0,0.0,293.87,305.32,"[6.2734, 7.4286, 5.1711]","[6.9708, 6.286, 6.1458, 5.7443]","[77, 62, 61]","[52, 50, 49, 49]","[80, 54, 66]","[38, 52, 53, 57]",150,147,,
D_n065_030_a50_089,D,42,200,2337.0,2336.0,1.0,707.87,588.54,"[5.9207, 7.2369, 5.6849]","[6.9095, 6.669, 6.0839, 4.5829]","[61, 77, 62]","[61, 57, 53, 29]","[58, 63, 79]","[57, 51, 46, 46]",164,157,,
D_n065_030_a50_089,D,123,200,2337.0,2337.0,0.0,646.09,626.99,"[5.9828, 7.1645, 6.0972]","[7.3954, 6.648, 6.0211, 5.2422]","[64, 76, 60]","[64, 42, 49, 45]","[68, 61, 71]","[53, 57, 48, 42]",163,158,,
D_n065_030_a50_089,D,456,200,2336.0,2337.0,-1.0,656.7,634.49,"[5.5305, 7.2147, 6.3794]","[6.8831, 6.9084, 6.5749, 5.6197]","[50, 75, 75]","[59, 49, 41, 51]","[59, 73, 68]","[59, 44, 40, 57]",163,143,,
D_n065_030_a50_089,D,789,200,2337.0,2336.0,1.0,693.2,719.43,"[6.2863, 7.2556, 6.9207]","[7.2613, 6.7963, 7.6557, 5.8078]","[58, 82, 60]","[55, 50, 49, 46]","[71, 73, 56]","[53, 47, 51, 49]",159,159,,
D_n065_030_a50_089,D,1337,200,2337.0,2337.0,0.0,628.82,748.68,"[4.4952, 7.091, 6.0382]","[7.0244, 6.3663, 4.7493, 5.2158]","[71, 76, 53]","[59, 46, 40, 55]","[76, 61, 63]","[57, 44, 51, 48]",150,150,,
D_n065_030_a50_089,D,2024,200,2336.0,2336.0,0.0,630.47,682.76,"[5.0551, 7.0907, 6.3044]","[6.9307, 6.7067, 5.4752, 5.6213]","[61, 72, 67]","[54, 54, 45, 47]","[64, 70, 66]","[55, 50, 53, 42]",158,156,,
D_n070_032_a25_094,D,42,200,1196.0,1196.0,0.0,171.35,167.89,"[6.1442, 7.072, 6.1576]","[7.5595, 6.696, 5.6895, 5.4995]","[67, 61, 72]","[54, 53, 46, 47]","[57, 63, 80]","[45, 59, 45, 51]",177,181,,
D_n070_032_a25_094,D,123,200,1177.0,1177.0,0.0,153.88,159.38,"[6.6524, 6.9384, 6.6277]","[7.0427, 7.1867, 6.2233, 6.4453]","[77, 66, 57]","[52, 57, 48, 43]","[78, 64, 58]","[49, 53, 52, 46]",182,182,,
D_n070_032_a25_094,D,456,200,1186.0,1187.0,-1.0,166.72,172.37,"[6.1846, 7.1546, 7.0387]","[7.3041, 6.7438, 6.986, 5.8765]","[66, 63, 71]","[46, 45, 55, 54]","[61, 73, 66]","[49, 51, 50, 50]",166,177,,
D_n070_032_a25_094,D,789,200,1187.0,1187.0,0.0,160.25,176.88,"[5.9351, 7.2187, 6.9703]","[7.1646, 7.1956, 6.5174, 6.2172]","[63, 76, 61]","[51, 53, 42, 54]","[60, 80, 60]","[54, 48, 54, 44]",174,178,,
D_n070_032_a25_094,D,1337,200,1186.0,1196.0,-10.0,160.79,162.63,"[6.6821, 7.0997, 6.6524]","[7.1871, 7.1322, 6.3898, 5.9888]","[74, 73, 53]","[58, 47, 56, 39]","[79, 51, 70]","[53, 48, 43, 56]",170,170,,
D_n070_032_a25_094,D,2024,200,1187.0,1187.0,0.0,153.27,194.87,"[6.4932, 7.4346, 5.5806]","[7.5339, 7.5172, 6.1434, 4.6521]","[63, 78, 59]","[59, 50, 52, 39]","[63, 64, 73]","[48, 53, 66, 33]",170,169,,
D_n070_032_a50_095,D,42,200,1907.0,1908.0,-1.0,776.1,732.04,"[5.4339, 6.9591, 5.7139]","[6.9198, 6.8778, 4.716, 5.6457]","[61, 74, 65]","[58, 58, 53, 31]","[63, 76, 61]","[53, 56, 55, 36]",156,147,,
D_n070_032_a50_095,D,123,200,1898.0,1907.0,-9.0,642.07,670.46,"[5.3316, 7.7078, 5.3131]","[7.5325, 6.7979, 5.0045, 5.2173]","[60, 87, 53]","[54, 59, 49, 38]","[53, 74, 73]","[45, 58, 54, 43]",151,151,,
D_n070_032_a50_095,D,456,200,1896.0,1897.0,-1.0,623.79,681.31,"[4.9893, 7.5783, 5.9443]","[7.6533, 7.4931, 4.3015, 4.1347]","[61, 77, 62]","[62, 51, 44, 43]","[66, 66, 68]","[46, 40, 56, 58]",121,125,,
D_n070_032_a50_095,D,789,200,1907.0,1908.0,-1.0,735.4,706.16,"[5.6931, 7.4714, 6.5352]","[7.6042, 7.4196, 6.5724, 4.8813]","[66, 78, 56]","[54, 49, 58, 39]","[76, 68, 56]","[52, 49, 60, 39]",148,141,,
D_n070_032_a50_095,D,1337,200,1895.0,1907.0,-12.0,584.29,679.59,"[5.1835, 7.6168, 6.5071]","[7.1912, 7.292, 5.548, 5.9522]","[61, 74, 65]","[53, 58, 50, 39]","[78, 57, 65]","[45, 42, 62, 51]",149,134,,
D_n070_032_a50_095,D,2024,200,1907.0,1907.0,0.0,641.24,672.86,"[5.1089, 7.6335, 6.2662]","[7.088, 7.4903, 5.3527, 5.9981]","[54, 76, 70]","[50, 59, 48, 43]","[69, 70, 61]","[48, 50, 48, 54]",158,148,,
D_n070_032_a75_096,D,42,200,2097.0,2095.0,2.0,709.95,374.7,"[6.0504, 8.2569, 7.069]","[8.1362, 7.2456, 7.1108, 6.7316]","[42, 77, 81]","[46, 54, 52, 48]","[58, 69, 73]","[47, 44, 61, 48]",141,144,,
D_n070_032_a75_096,D,123,200,2096.0,2097.0,-1.0,609.68,279.86,"[5.4174, 7.3605, 6.6995]","[7.3645, 7.61, 5.3321, 5.3921]","[63, 60, 77]","[58, 50, 45, 47]","[63, 75, 62]","[53, 52, 39, 56]",138,160,,
D_n070_032_a75_096,D,456,200,2096.0,2097.0,-1.0,559.76,344.3,"[5.8772, 7.6601, 6.5062]","[7.6027, 7.3874, 5.2885, 5.7599]","[54, 85, 61]","[58, 59, 39, 44]","[68, 60, 72]","[43, 53, 54, 50]",145,146,,
D_n070_032_a75_096,D,789,200,2097.0,2098.0,-1.0,605.75,352.9,"[5.8708, 7.7448, 6.6201]","[7.8078, 7.2069, 5.7714, 5.3955]","[71, 74, 55]","[54, 55, 54, 37]","[71, 64, 65]","[47, 58, 45, 50]",138,137,,
D_n070_032_a75_096,D,1337,200,2096.0,2095.0,1.0,600.96,430.16,"[5.4036, 7.9783, 6.6152]","[7.4443, 7.344, 6.2693, 5.2567]","[62, 68, 70]","[59, 49, 50, 42]","[72, 62, 66]","[44, 47, 56, 53]",138,133,,
D_n070_032_a75_096,D,2024,200,2095.0,2096.0,-1.0,531.45,379.88,"[5.2844, 7.992, 6.6143]","[7.1665, 7.3403, 5.6068, 6.014]","[70, 77, 53]","[60, 50, 47, 43]","[71, 74, 55]","[44, 45, 57, 54]",140,143,,
D_n070_035_a25_103,D,42,200,1701.0,1701.0,0.0,197.34,184.83,"[5.856, 7.6792, 6.717]","[7.534, 7.5386, 6.3703, 5.5587]","[55, 72, 73]","[46, 54, 57, 43]","[68, 59, 73]","[44, 46, 52, 58]",154,140,,
D_n070_035_a25_103,D,123,200,1690.0,1699.0,-9.0,152.1,162.45,"[6.0187, 7.1505, 6.4843]","[7.2713, 7.4459, 5.529, 5.5812]","[61, 73, 66]","[53, 59, 45, 43]","[64, 60, 76]","[51, 49, 51, 49]",158,151,,
D_n070_035_a25_103,D,456,200,1701.0,1701.0,0.0,170.19,200.31,"[5.7069, 7.3603, 6.9707]","[7.2656, 7.465, 5.4731, 5.1445]","[68, 67, 65]","[59, 52, 46, 43]","[72, 74, 54]","[57, 38, 62, 43]",153,143,,
D_n070_035_a25_103,D,789,200,1701.0,1701.0,0.0,168.38,157.1,"[5.8634, 7.4356, 6.9662]","[7.4975, 7.3685, 6.4828, 5.8562]","[56, 83, 61]","[47, 61, 40, 52]","[59, 75, 66]","[52, 57, 41, 50]",166,149,,
D_n070_035_a25_103,D,1337,200,1701.0,1701.0,0.0,205.25,225.74,"[5.5157, 7.5834, 6.022]","[7.4727, 6.6868, 5.9959, 5.3944]","[62, 80, 58]","[57, 48, 59, 36]","[69, 61, 70]","[51, 40, 63, 46]",143,147,,
D_n070_035_a25_103,D,2024,200,1692.0,1701.0,-9.0,162.0,178.25,"[5.7086, 7.2298, 5.7264]","[7.4981, 7.3087, 5.3004, 4.9067]","[59, 72, 69]","[54, 52, 45, 49]","[69, 58, 73]","[47, 55, 48, 50]",146,148,,
D_n070_035_a50_104,D,42,200,2348.0,2350.0,-2.0,592.46,690.26,"[5.3213, 7.1929, 6.6255]","[6.8674, 7.111, 5.7862, 5.6885]","[57, 62, 81]","[57, 52, 58, 33]","[60, 62, 78]","[56, 42, 56, 46]",157,146,,
D_n070_035_a50_104,D,123,200,2349.0,2350.0,-1.0,368.28,664.82,"[5.1773, 7.076, 5.9705]","[7.0571, 6.2152, 4.4076, 6.1227]","[57, 82, 61]","[49, 59, 37, 55]","[68, 69, 63]","[53, 57, 42, 48]",154,151,,
D_n070_035_a50_104,D,456,200,2349.0,2349.0,0.0,547.25,574.84,"[5.5644, 7.0796, 6.3505]","[6.8179, 6.9183, 6.8575, 5.0716]","[51, 77, 72]","[51, 49, 57, 43]","[62, 62, 76]","[47, 58, 50, 45]",168,166,,
D_n070_035_a50_104,D,789,200,2350.0,2350.0,0.0,504.28,583.49,"[6.5343, 7.4574, 6.2341]","[7.0623, 6.8725, 6.4203, 6.4952]","[69, 65, 66]","[56, 39, 47, 58]","[69, 67, 64]","[60, 40, 44, 56]",157,155,,
D_n070_035_a50_104,D,1337,200,2348.0,2348.0,0.0,689.61,475.27,"[5.6545, 7.6538, 6.0579]","[7.2636, 6.352, 6.4124, 5.8849]","[51, 68, 81]","[58, 33, 56, 53]","[52, 72, 76]","[61, 38, 49, 52]",143,157,,
D_n070_035_a50_104,D,2024,200,2348.0,2349.0,-1.0,725.34,500.31,"[4.9927, 7.5284, 6.8888]","[6.9177, 6.8931, 6.7693, 6.2213]","[47, 78, 75]","[64, 50, 46, 40]","[66, 67, 67]","[46, 47, 51, 56]",153,138,,
D_n075_036_a25_106,D,42,200,1335.0,1377.0,-42.0,171.26,83.89,"[5.0429, 7.386, 5.8997]","[6.9271, 7.5004, 4.2326, 5.4125]","[61, 77, 62]","[52, 60, 39, 49]","[82, 61, 57]","[45, 44, 46, 65]",159,136,,
D_n075_036_a25_106,D,123,200,1335.0,1335.0,0.0,94.49,84.2,"[5.7818, 7.4387, 5.6254]","[7.1254, 7.2133, 5.8785, 4.532]","[64, 77, 59]","[68, 40, 52, 40]","[74, 64, 62]","[70, 45, 39, 46]",165,168,,
D_n075_036_a25_106,D,456,200,1345.0,1376.0,-31.0,81.22,82.3,"[6.0323, 7.4716, 5.656]","[6.984, 7.3841, 5.3382, 5.8171]","[59, 80, 61]","[61, 50, 46, 43]","[66, 69, 65]","[52, 45, 55, 48]",162,142,,
D_n075_036_a25_106,D,789,200,1375.0,1376.0,-1.0,76.68,81.16,"[5.8545, 7.0722, 3.9254]","[7.3879, 6.6155, 4.9922, 5.1195]","[74, 77, 49]","[52, 42, 66, 40]","[75, 74, 51]","[39, 62, 55, 44]",147,145,,
D_n075_036_a25_106,D,1337,200,1335.0,1335.0,0.0,112.36,128.98,"[5.5444, 7.0508, 6.4916]","[7.0682, 7.1111, 5.376, 5.9027]","[58, 89, 53]","[63, 51, 50, 36]","[61, 73, 66]","[56, 50, 44, 50]",172,173,,
D_n075_036_a25_106,D,2024,200,1356.0,1376.0,-20.0,56.84,64.65,"[5.5903, 6.9839, 5.3981]","[6.4731, 6.8702, 4.7956, 5.504]","[63, 69, 68]","[65, 45, 45, 45]","[70, 57, 73]","[59, 41, 51, 49]",158,149,,
D_n075_039_a50_116,D,42,200,2983.0,2972.0,11.0,543.81,590.44,"[5.0426, 7.0393, 6.11]","[6.6604, 6.5237, 5.7125, 5.6366]","[64, 71, 65]","[44, 67, 52, 37]","[76, 68, 56]","[42, 60, 60, 38]",142,148,,
D_n075_039_a50_116,D,123,200,2982.0,3053.0,-71.0,555.29,603.72,"[5.4287, 7.0749, 5.6321]","[6.5879, 6.9621, 5.4698, 4.8792]","[62, 65, 73]","[52, 55, 56, 37]","[68, 65, 67]","[59, 42, 54, 45]",151,149,,
D_n075_039_a50_116,D,456,200,2974.0,2973.0,1.0,508.33,602.35,"[5.0514, 7.4716, 5.3845]","[7.1384, 7.1222, 5.5876, 4.8866]","[52, 88, 60]","[55, 49, 42, 54]","[62, 71, 67]","[44, 52, 57, 47]",144,138,,
D_n075_039_a50_116,D,789,200,3055.0,3064.0,-9.0,583.27,568.67,"[4.906, 7.8896, 4.9237]","[6.7994, 6.4867, 6.264, 3.758]","[68, 77, 55]","[53, 55, 55, 37]","[72, 72, 56]","[50, 42, 55, 53]",128,138,,
D_n075_039_a50_116,D,1337,200,3063.0,3053.0,10.0,422.87,528.43,"[3.8548, 7.4885, 5.5106]","[7.2815, 6.8193, 3.54, 3.456]","[62, 77, 61]","[65, 63, 33, 39]","[77, 61, 62]","[53, 50, 49, 48]",137,122,,
D_n075_039_a50_116,D,2024,200,3064.0,3073.0,-9.0,486.98,524.95,"[5.4436, 6.9804, 4.5107]","[6.9037, 6.0398, 4.8126, 5.5662]","[69, 74, 57]","[56, 40, 46, 58]","[74, 66, 60]","[45, 46, 57, 52]",145,133,,
D_n075_040_a25_118,D,42,200,1818.0,1818.0,0.0,234.44,214.1,"[5.7021, 7.33, 5.1308]","[7.1336, 6.8556, 5.4121, 4.96]","[45, 81, 74]","[50, 56, 53, 41]","[59, 60, 81]","[49, 57, 49, 45]",149,149,,
D_n075_040_a25_118,D,123,200,1812.0,1811.0,1.0,235.74,238.84,"[5.2832, 7.4361, 7.122]","[7.5501, 6.9637, 5.3603, 5.7947]","[57, 67, 76]","[70, 40, 45, 45]","[71, 62, 67]","[57, 43, 46, 54]",160,158,,
D_n075_040_a25_118,D,456,200,1818.0,1820.0,-2.0,202.69,249.7,"[5.494, 7.2274, 6.7236]","[7.1804, 7.3721, 5.432, 5.3184]","[68, 74, 58]","[54, 54, 47, 45]","[75, 69, 56]","[50, 54, 58, 38]",143,140,,
D_n075_040_a25_118,D,789,200,1820.0,1820.0,0.0,232.59,245.66,"[6.0434, 7.2375, 6.4472]","[6.6703, 7.0898, 6.0434, 6.7833]","[62, 81, 57]","[50, 57, 42, 51]","[63, 70, 67]","[43, 58, 45, 54]",162,155,,
D_n075_040_a25_118,D,1337,200,1811.0,1820.0,-9.0,221.84,211.96,"[6.3463, 7.7096, 6.0018]","[7.6852, 7.3801, 6.0205, 6.3601]","[56, 92, 52]","[51, 50, 50, 49]","[65, 70, 65]","[55, 55, 41, 49]",163,150,,
D_n075_040_a25_118,D,2024,200,1810.0,1811.0,-1.0,228.02,227.01,"[5.7685, 7.361, 6.2632]","[7.2688, 7.245, 5.6113, 5.7904]","[69, 65, 66]","[59, 52, 45, 44]","[79, 60, 61]","[48, 56, 38, 58]",149,145,,
D_n075_040_a50_119,D,42,200,2568.0,2569.0,-1.0,968.26,1278.93,"[5.657, 7.2795, 5.9869]","[6.8935, 7.3677, 4.9697, 5.2723]","[62, 71, 67]","[56, 68, 45, 31]","[70, 63, 67]","[53, 65, 47, 35]",141,133,,
D_n075_040_a50_119,D,123,200,2567.0,2567.0,0.0,993.32,1152.47,"[5.6919, 7.4715, 6.0269]","[6.9861, 7.3225, 6.5072, 4.0722]","[68, 78, 54]","[59, 59, 46, 36]","[65, 76, 59]","[59, 52, 43, 46]",151,147,,
D_n075_040_a50_119,D,456,200,2567.0,2568.0,-1.0,1091.94,1172.89,"[4.3912, 7.2834, 5.5086]","[6.91, 6.6533, 5.543, 4.932]","[48, 90, 62]","[54, 49, 41, 56]","[55, 83, 62]","[53, 51, 44, 52]",140,141,,
D_n075_040_a50_119,D,789,200,2568.0,2567.0,1.0,1104.46,1225.76,"[4.5968, 7.1651, 5.9702]","[6.936, 6.9911, 5.3422, 3.984]","[61, 70, 69]","[53, 61, 45, 41]","[54, 76, 70]","[59, 46, 48, 47]",137,144,,
D_n075_040_a50_119,D,1337,200,2568.0,2568.0,0.0,1060.18,1124.94,"[5.1879, 7.313, 5.7763]","[6.9431, 6.4574, 4.7888, 5.8094]","[53, 74, 73]","[68, 39, 42, 51]","[71, 63, 66]","[52, 49, 50, 49]",141,127,,
D_n075_040_a50_119,D,2024,200,2569.0,2567.0,2.0,1351.09,1202.3,"[4.9521, 7.58, 6.9365]","[7.3056, 6.4602, 6.274, 5.3352]","[70, 70, 60]","[57, 46, 58, 39]","[67, 67, 66]","[44, 55, 49, 52]",133,135,,
D_n080_042_a25_124,D,42,200,1537.0,1537.0,0.0,367.47,392.18,"[4.131, 7.2786, 6.6636]","[7.8229, 6.6617, 5.1516, 5.7864]","[46, 86, 68]","[55, 54, 50, 41]","[54, 78, 68]","[46, 63, 50, 41]",146,158,,
D_n080_042_a25_124,D,123,200,1536.0,1537.0,-1.0,345.35,363.12,"[5.3771, 7.1858, 5.6104]","[7.2508, 7.1337, 4.2693, 5.1404]","[50, 82, 68]","[63, 57, 42, 38]","[72, 62, 66]","[57, 64, 41, 38]",155,157,,
D_n080_042_a25_124,D,456,200,1537.0,1537.0,0.0,344.82,416.41,"[5.7878, 7.0365, 5.6036]","[7.1546, 7.0338, 4.7672, 5.2433]","[72, 76, 52]","[55, 58, 32, 55]","[71, 60, 69]","[53, 47, 50, 50]",151,146,,
D_n080_042_a25_124,D,789,200,1537.0,1537.0,0.0,429.01,435.66,"[5.2377, 7.4376, 6.5531]","[7.0875, 7.1938, 5.8381, 6.0261]","[57, 82, 61]","[47, 46, 60, 47]","[64, 77, 59]","[54, 41, 61, 44]",151,150,,
D_n080_042_a25_124,D,1337,200,1537.0,1536.0,1.0,412.79,447.79,"[5.5048, 7.5419, 5.712]","[7.243, 7.0703, 4.6933, 5.5846]","[69, 71, 60]","[55, 58, 43, 44]","[67, 65, 68]","[51, 47, 49, 53]",150,148,,
D_n080_042_a25_124,D,2024,200,1537.0,1516.0,21.0,353.18,344.9,"[6.1796, 7.588, 5.9229]","[7.6484, 7.5334, 4.7034, 5.6143]","[65, 66, 69]","[47, 65, 42, 46]","[62, 69, 69]","[47, 51, 46, 56]",154,149,,
D_n080_044_a50_131,D,42,200,3252.0,3161.0,91.0,1292.87,1100.47,"[4.475, 7.1151, 5.2974]","[7.1372, 6.4054, 4.4293, 3.7785]","[47, 81, 72]","[59, 68, 40, 33]","[63, 72, 65]","[53, 51, 44, 52]",150,137,,
D_n080_044_a50_131,D,123,200,3162.0,3170.0,-8.0,1379.17,1058.03,"[4.6869, 7.267, 5.885]","[7.408, 5.9884, 6.081, 3.7266]","[63, 68, 69]","[66, 50, 43, 41]","[66, 62, 72]","[56, 52, 43, 49]",143,145,,
D_n080_044_a50_131,D,456,200,3171.0,3162.0,9.0,1306.59,1107.61,"[4.229, 7.4664, 5.4556]","[6.4277, 6.7638, 6.2277, 5.4712]","[49, 100, 51]","[49, 60, 44, 47]","[64, 71, 65]","[54, 52, 46, 48]",150,148,,
