family,instance,arm_id,best_ub,warm_mu,obj,cert_gap_pct,stop_reason,phases,ec_gain,total_rt_s,error
ED,ED_n040_001_a25_001,A4,412.0000,0,412.0,0.000000,UB,1,0,0.1,
ED,ED_n040_001_a25_001,A5,412.0000,0,412.0,0.000000,UB,1,0,0.2,
ED,ED_n050_011_a50_032,A1,1307.0000,0,1306.0,0.076511,UB,2,0,435.6,
ED,ED_n050_011_a50_032,A2,1307.0000,0,1306.0,0.076511,GAP<threshold,1,0,319.0,
ED,ED_n050_011_a50_032,A3,1307.0000,0,1306.0,0.076511,GAP<threshold,1,0,318.9,
ED,ED_n050_011_a50_032,A4,1307.0000,0,1306.0,0.076511,GAP<threshold,1,0,317.2,
ED,ED_n050_011_a50_032,A5,1307.0000,0,1306.0,0.076511,GAP<threshold,1,0,314.6,
ED,ED_n060_021_a75_063,A1,1699.0000,0,1698.0,0.058858,GAP<threshold,3,2,994.9,
ED,ED_n060_021_a75_063,A2,1699.0000,0,1698.0,0.058858,GAP<threshold,1,0,382.3,
ED,ED_n060_021_a75_063,A3,1699.0000,0,1698.0,0.058858,GAP<threshold,1,0,380.5,
ED,ED_n060_021_a75_063,A4,1699.0000,0,1698.0,0.058858,GAP<threshold,1,0,371.6,
ED,ED_n060_021_a75_063,A5,1699.0000,0,1698.0,0.058858,GAP<threshold,1,0,358.3,
ED,ED_n070_031_a25_091,A1,878.0000,0,877.0,0.113895,GAP<threshold,1,0,303.0,
ED,ED_n070_031_a25_091,A2,878.0000,0,878.0,0.000000,UB,1,0,187.6,
ED,ED_n070_031_a25_091,A3,878.0000,0,878.0,0.000000,UB,1,0,198.0,
ED,ED_n070_031_a25_091,A4,878.0000,0,878.0,0.000000,UB,1,0,198.7,
ED,ED_n070_031_a25_091,A5,878.0000,0,878.0,0.000000,UB,1,0,204.2,
ED,ED_n080_041_a50_122,A1,2232.0000,0,2226.0,0.268817,TIERS_EXHAUSTED,6,1,2052.1,
ED,ED_n080_041_a50_122,A2,2232.0000,0,2226.0,0.268817,RT_CAP,5,4,2035.4,
ED,ED_n080_041_a50_122,A3,2232.0000,0,2227.0,0.224014,GAP<threshold,2,1,791.4,
ED,ED_n080_041_a50_122,A4,2232.0000,0,2227.0,0.224014,TIERS_EXHAUSTED,5,1,1919.8,
ED,ED_n080_041_a50_122,A5,2232.0000,0,2227.0,0.224014,RT_CAP,6,3,1948.8,
