instance,family,incumbent,greedy,init_ub,init_raw,init_iters,refined_ub,refined_raw,refine_iters,refine_converged,final_ub,binding,final_gap_pct,cert_path,solve_s,error
ED_n045_007_a25_019,ED,253.0,253.0,253,253.0,15,253,253.0,15,1,253,initial,0.0,results/certificates/ED_n045_007_a25_019.pkl,0.1,
ED_n045_007_a50_020,ED,914.0,804.0,927,927.432432,200,914,914.0,3000,0,914,refined,0.0,results/certificates/ED_n045_007_a50_020.pkl,6.5,
ED_n045_007_a75_021,ED,1278.0,1277.0,1289,1289.889524,200,1278,1278.0,3000,0,1278,refined,0.0,results/certificates/ED_n045_007_a75_021.pkl,7.5,
ED_n045_008_a25_022,ED,732.0,732.0,732,732.283709,200,732,732.0,3000,0,732,initial,0.0,results/certificates/ED_n045_008_a25_022.pkl,12.0,
ED_n045_008_a50_023,ED,1326.0,1313.0,1328,1328.535739,200,1326,1326.0,3000,0,1326,refined,0.0,results/certificates/ED_n045_008_a50_023.pkl,7.9,
ED_n045_008_a75_024,ED,1471.0,1471.0,1472,1472.0,20,1472,1472.0,20,1,1472,initial,0.06793478260869565,results/certificates/ED_n045_008_a75_024.pkl,0.4,
ED_n045_009_a25_025,ED,843.0,743.0,846,846.25,200,843,843.0,3000,0,843,refined,0.0,results/certificates/ED_n045_009_a25_025.pkl,14.3,
ED_n045_009_a50_026,ED,1487.0,1486.0,1500,1500.253794,200,1487,1487.0,3000,0,1487,refined,0.0,results/certificates/ED_n045_009_a50_026.pkl,11.3,
ED_n045_009_a75_027,ED,1650.0,1638.0,1651,1651.525801,200,1650,1650.0,3000,0,1650,refined,0.0,results/certificates/ED_n045_009_a75_027.pkl,16.2,
ED_n045_010_a25_028,ED,813.0,813.0,813,813.090638,200,813,813.0,3000,0,813,initial,0.0,results/certificates/ED_n045_010_a25_028.pkl,8.4,
ED_n045_010_a50_029,ED,1449.0,1449.0,1454,1454.042508,200,1449,1449.0,3000,0,1449,refined,0.0,results/certificates/ED_n045_010_a50_029.pkl,10.1,
ED_n045_010_a75_030,ED,1596.0,1595.0,1596,1596.180595,200,1596,1596.0,3000,0,1596,initial,0.0,results/certificates/ED_n045_010_a75_030.pkl,10.3,
ED_n050_011_a25_031,ED,623.0,623.0,623,623.0,32,623,623.0,32,1,623,initial,0.0,results/certificates/ED_n050_011_a25_031.pkl,0.4,
ED_n050_011_a50_032,ED,1306.0,1295.0,1306,1306.69668,200,1306,1306.0,3000,0,1306,initial,0.0,results/certificates/ED_n050_011_a50_032.pkl,19.3,
ED_n050_011_a75_033,ED,1464.0,1462.0,1464,1464.0,43,1464,1464.0,73,1,1464,initial,0.0,results/certificates/ED_n050_011_a75_033.pkl,1.0,
ED_n050_012_a25_034,ED,354.0,353.0,354,354.0,74,354,354.0,153,1,354,initial,0.0,results/certificates/ED_n050_012_a25_034.pkl,0.9,
ED_n050_012_a50_035,ED,1014.0,903.0,1034,1034.449304,200,1015,1015.023209,3000,0,1015,refined,0.09852216748768472,results/certificates/ED_n050_012_a50_035.pkl,8.9,
ED_n050_012_a75_036,ED,1378.0,1376.0,1400,1400.117335,200,1378,1378.0,3000,0,1378,refined,0.0,results/certificates/ED_n050_012_a75_036.pkl,9.6,
ED_n050_013_a25_037,ED,742.0,742.0,742,742.923484,200,742,742.0,3000,0,742,initial,0.0,results/certificates/ED_n050_013_a25_037.pkl,15.0,
ED_n050_013_a50_038,ED,1337.0,1323.0,1340,1340.763897,200,1338,1338.033168,3000,0,1338,refined,0.07473841554559044,results/certificates/ED_n050_013_a50_038.pkl,12.6,
ED_n050_013_a75_039,ED,1582.0,1570.0,1582,1582.0,51,1582,1582.0,56,1,1582,initial,0.0,results/certificates/ED_n050_013_a75_039.pkl,0.8,
ED_n050_014_a25_040,ED,1034.0,843.0,1034,1034.0,200,1034,1034.0,414,1,1034,initial,0.0,results/certificates/ED_n050_014_a25_040.pkl,3.2,
ED_n050_014_a50_041,ED,1787.0,1686.0,1804,1804.608392,200,1797,1797.175394,3000,0,1797,refined,0.5564830272676683,results/certificates/ED_n050_014_a50_041.pkl,13.2,
ED_n050_014_a75_042,ED,2058.0,2039.0,2059,2059.604644,200,2058,2058.0,3000,0,2058,refined,0.0,results/certificates/ED_n050_014_a75_042.pkl,17.8,
ED_n050_015_a25_043,ED,852.0,852.0,853,853.598089,200,853,853.010768,3000,0,853,initial,0.11723329425556857,results/certificates/ED_n050_015_a25_043.pkl,17.3,
ED_n050_015_a50_044,ED,1482.0,1482.0,1505,1505.866101,200,1483,1483.010538,3000,0,1483,refined,0.06743088334457181,results/certificates/ED_n050_015_a50_044.pkl,19.4,
ED_n050_015_a75_045,ED,1626.0,1626.0,1626,1626.000669,200,1626,1626.0,3000,0,1626,initial,0.0,results/certificates/ED_n050_015_a75_045.pkl,17.2,
ED_n055_016_a25_046,ED,845.0,832.0,848,848.595786,200,845,845.0,3000,0,845,refined,0.0,results/certificates/ED_n055_016_a25_046.pkl,28.3,
ED_n055_016_a50_047,ED,1447.0,1436.0,1448,1448.26815,200,1447,1447.0,3000,0,1447,refined,0.0,results/certificates/ED_n055_016_a50_047.pkl,31.2,
ED_n055_016_a75_048,ED,1488.0,1483.0,1489,1489.986499,200,1488,1488.0,3000,0,1488,refined,0.0,results/certificates/ED_n055_016_a75_048.pkl,35.5,
ED_n055_017_a25_049,ED,364.0,363.0,364,364.0,96,364,364.0,53,1,364,initial,0.0,results/certificates/ED_n055_017_a25_049.pkl,0.9,
ED_n055_017_a50_050,ED,1135.0,1024.0,1156,1156.562977,200,1136,1136.020979,3000,0,1136,refined,0.08802816901408451,results/certificates/ED_n055_017_a50_050.pkl,12.3,
ED_n055_017_a75_051,ED,1489.0,1488.0,1522,1522.370058,200,1489,1489.0,3000,0,1489,refined,0.0,results/certificates/ED_n055_017_a75_051.pkl,12.4,
ED_n055_018_a25_052,ED,742.0,742.0,744,744.108197,200,742,742.0,3000,0,742,refined,0.0,results/certificates/ED_n055_018_a25_052.pkl,31.0,
ED_n055_018_a50_053,ED,1348.0,1333.0,1352,1352.126996,200,1348,1348.0,3000,0,1348,refined,0.0,results/certificates/ED_n055_018_a50_053.pkl,23.0,
ED_n055_018_a75_054,ED,1601.0,1590.0,1602,1602.981029,200,1602,1602.013819,3000,0,1602,initial,0.062421972534332085,results/certificates/ED_n055_018_a75_054.pkl,36.3,
ED_n055_019_a25_055,ED,1036.0,845.0,1040,1040.0,200,1036,1036.0,274,1,1036,refined,0.0,results/certificates/ED_n055_019_a25_055.pkl,3.6,
ED_n055_019_a50_056,ED,1897.0,1786.0,1914,1914.190789,200,1907,1907.075602,3000,0,1907,refined,0.5243838489774515,results/certificates/ED_n055_019_a50_056.pkl,16.4,
ED_n055_019_a75_057,ED,2169.0,2151.0,2171,2171.662431,200,2170,2170.011258,3000,0,2170,refined,0.04608294930875576,results/certificates/ED_n055_019_a75_057.pkl,24.8,
ED_n055_020_a25_058,ED,963.0,963.0,964,964.391728,200,964,964.009165,3000,0,964,initial,0.1037344398340249,results/certificates/ED_n055_020_a25_058.pkl,29.1,
ED_n055_020_a50_059,ED,1790.0,1789.0,1807,1807.642511,200,1790,1790.0,3000,0,1790,refined,0.0,results/certificates/ED_n055_020_a50_059.pkl,24.3,
