instance,family,mode,csv_obj,primal_obj,csv_obj_match,csv_ub,recomputed_ub,lagrangian_value,csv_gap_pct,recomputed_gap_pct,pass_primal,pass_bound,pass_ub_match,pass_gap,pass_all,note
C_n055_007_a50_020,C,rederive,1368.0,1368.0,match,1368.0,1370,1370.3552,0.0,0.146,True,True,,,True,
C_n055_007_a75_021,C,rederive,1623.0,1623.0,match,1623.0,1623,1623.0,0.0,0.0,True,True,,,True,
C_n055_008_a25_022,C,rederive,1004.0,1004.0,match,1004.0,1004,1004.1823,0.0,0.0,True,True,,,True,
C_n055_008_a50_023,C,rederive,1381.0,1381.0,match,1382.0,1385,1385.3101,0.0724,0.2888,True,True,,,True,
C_n055_008_a75_024,C,rederive,1617.0,1617.0,match,1617.0,1617,1617.0,0.0,0.0,True,True,,,True,
C_n055_009_a25_025,C,rederive,1353.0,1353.0,match,1354.0,1353,1353.3653,0.0739,0.0,True,True,,,True,
C_n055_009_a50_026,C,rederive,2225.0,2225.0,match,2226.0,2226,2226.142,0.0449,0.0449,True,True,,,True,
C_n055_009_a75_027,C,rederive,2373.0,2373.0,match,2373.0,2373,2373.0,0.0,0.0,True,True,,,True,
C_n055_010_a25_028,C,rederive,1186.0,1186.0,match,1187.0,1186,1186.512,0.0842,0.0,True,True,,,True,
C_n055_010_a50_029,C,rederive,1894.0,1894.0,match,1894.0,1895,1895.2954,0.0,0.0528,True,True,,,True,
C_n055_010_a75_030,C,rederive,2048.0,2048.0,match,2048.0,2048,2048.0,0.0,0.0,True,True,,,True,
C_n060_011_a25_031,C,rederive,1212.0,1212.0,match,1213.0,1212,1212.931,0.0824,0.0,True,True,,,True,
C_n060_011_a50_032,C,rederive,1664.0,1664.0,match,1664.0,1664,1664.0676,0.0,0.0,True,True,,,True,
C_n060_011_a75_033,C,rederive,1713.0,1713.0,match,1713.0,1713,1713.0,0.0,0.0,True,True,,,True,
C_n060_012_a25_034,C,rederive,1113.0,1113.0,match,1115.0,1119,1119.2899,0.1794,0.5362,True,True,,,True,
C_n060_012_a50_035,C,rederive,1731.0,1731.0,match,1731.0,1731,1731.0017,0.0,0.0,True,True,,,True,
C_n060_012_a75_036,C,rederive,1759.0,1759.0,match,1759.0,1759,1759.0,0.0,0.0,True,True,,,True,
C_n060_013_a25_037,C,rederive,1294.0,1294.0,match,1294.0,1295,1295.5124,0.0,0.0772,True,True,,,True,
C_n060_013_a50_038,C,rederive,1784.0,1784.0,match,1786.0,1790,1790.8219,0.112,0.3352,True,True,,,True,
C_n060_013_a75_039,C,rederive,2019.0,2019.0,match,2019.0,2019,2019.0,0.0,0.0,True,True,,,True,
C_n060_014_a25_040,C,rederive,1544.0,1544.0,match,1545.0,1546,1546.8038,0.0647,0.1294,True,True,,,True,
C_n060_014_a50_041,C,rederive,2341.0,2341.0,match,2341.0,2341,2341.0204,0.0,0.0,True,True,,,True,
C_n060_014_a75_042,C,rederive,2476.0,2476.0,match,2476.0,2476,2476.0,0.0,0.0,True,True,,,True,
C_n060_015_a25_043,C,rederive,1466.0,1466.0,match,1468.0,1466,1466.7917,0.1362,0.0,True,True,,,True,
C_n060_015_a50_044,C,rederive,2123.0,2123.0,match,2123.0,2123,2123.0208,0.0,0.0,True,True,,,True,
C_n060_015_a75_045,C,rederive,2190.0,2190.0,match,2190.0,2190,2190.0,0.0,0.0,True,True,,,True,
C_n065_016_a25_046,C,rederive,1312.0,1312.0,match,1313.0,1312,1312.9021,0.0762,0.0,True,True,,,True,
