instance,family,n,alpha,phase,tier,obj,ub,stall_run,obj_improved,gap_pct,seeds,alns_iters,n_new_best,n_improve,n_accept_worse,d_weights,r_weights,d_weights_best,r_weights_best,d_usage,r_usage,seed_list,seed_iters,best_seed,n_best_events,first_best_s,last_best_s,lag_s,phase_rt,cumul_rt,event
EC_n080_033_a25_097,EC,80,0.25,2,2,1806.0,1813,2,0,0.3861003861003861,4,1847,0,111,753,"[4.5801, 6.6829, 5.0123]","[6.4244, 7.4504, 3.0105, 3.834]",,,"[524, 757, 565]","[574, 571, 322, 379]","[42, 123, 456, 789]","[500, 500, 500, 347]",,0,,,4.33,300.8046723001171,610.0401302999817,STALL→tier1→2 d_max=11
EC_n080_033_a25_097,EC,80,0.25,3,3,1806.0,1812,3,0,0.33112582781456956,4,1942,0,99,707,"[3.4809, 5.1391, 3.6896]","[5.4314, 5.3525, 1.6864, 2.42]",,,"[621, 756, 564]","[608, 683, 303, 347]","[42, 123, 456, 789]","[500, 500, 500, 442]",,0,,,4.04,300.04551059985533,914.1236838998739,TIERS_EXHAUSTED
ED_n065_027_a75_081,ED,65,0.75,1,1,1972.0,1983,1,0,0.5547150781643975,1,178,0,21,124,"[4.7175, 7.1511, 6.4686]","[7.3333, 6.5557, 6.0949, 5.1322]",,,"[50, 80, 47]","[42, 50, 53, 32]",[42],[178],,0,,,2.86,300.0313136000186,302.8875344998669,STALL→tier0→1 d_max=13
ED_n065_027_a75_081,ED,65,0.75,2,2,1972.0,1982,2,0,0.5045408678102926,1,196,0,35,111,"[4.981, 7.6027, 6.7489]","[7.4107, 7.6823, 5.5941, 5.3611]",,,"[44, 81, 70]","[58, 59, 36, 42]",[42],[196],,0,,,3.08,300.49812180013396,606.4643578999676,STALL→tier1→2 d_max=18
ED_n065_027_a75_081,ED,65,0.75,3,3,1972.0,1982,3,0,0.5045408678102926,1,138,0,33,71,"[4.0853, 5.8719, 3.8552]","[6.3043, 4.5257, 5.2255, 2.8429]",,,"[39, 63, 35]","[39, 24, 44, 30]",[42],[138],,0,,,3.05,304.0180764000397,913.5307797999121,TIERS_EXHAUSTED
EB_n150_026_a25_076,EB,150,0.25,1,1,2550.0,2590,1,0,1.5444015444015444,4,1663,0,94,695,"[5.48, 7.7526, 5.381]","[7.472, 7.7053, 4.9674, 5.5106]",,,"[505, 619, 538]","[550, 507, 313, 292]","[42, 123, 456, 789]","[500, 500, 500, 163]",,0,,,29.2,300.29144289996475,329.4904147000052,STALL→tier0→1 d_max=12
EB_n150_026_a25_076,EB,150,0.25,2,2,2550.0,2570,2,0,0.7782101167315175,4,1525,0,82,542,"[1.0, 1.0, 1.0]","[1.0, 1.0, 1.0, 1.0]",,,"[443, 632, 449]","[519, 423, 273, 309]","[42, 123, 456, 789]","[500, 500, 500, 25]",,0,,,32.62,300.8741409999784,662.9890351002105,STALL→tier1→2 d_max=16
EB_n150_026_a25_076,EB,150,0.25,3,3,2550.0,2560,3,0,0.390625,3,1431,0,94,454,"[3.9056, 4.1289, 3.1083]","[4.1191, 5.0412, 1.4342, 2.6328]",,,"[425, 592, 413]","[498, 454, 274, 204]","[42, 123, 456]","[500, 500, 431]",,0,,,32.02,300.2872874001041,995.2966519000474,TIERS_EXHAUSTED
C_n070_022_a50_065,C,70,0.5,1,1,2052.0,2061,1,0,0.43668122270742354,2,843,0,28,410,"[4.0698, 5.9028, 6.1792]","[8.3157, 5.213, 3.6112, 3.5711]",,,"[191, 336, 315]","[291, 241, 173, 137]","[42, 123]","[500, 343]",,0,,,2.59,301.5356835001148,304.12345079984516,STALL→tier0→1 d_max=13
C_n070_022_a50_065,C,70,0.5,2,2,2052.0,2060,2,0,0.3883495145631068,2,721,0,56,300,"[3.5539, 7.1262, 5.6996]","[8.4544, 5.9494, 3.6323, 3.588]",,,"[181, 295, 244]","[245, 195, 175, 105]","[42, 123]","[500, 221]",,0,,,2.61,301.66066220006905,608.3911776000168,STALL→tier1→2 d_max=18
C_n070_022_a50_065,C,70,0.5,3,3,2052.0,2060,3,0,0.3883495145631068,2,818,0,45,301,"[3.2492, 4.5887, 5.0618]","[5.9638, 4.4588, 3.981, 1.8208]",,,"[231, 337, 249]","[286, 228, 150, 153]","[42, 123]","[500, 318]",,0,,,2.66,300.97238630009815,912.0219643998425,TIERS_EXHAUSTED
EC_n070_023_a50_068,EC,70,0.5,1,1,2206.0,2235,1,0,1.2975391498881432,2,797,0,52,391,"[5.7525, 7.8436, 5.7979]","[8.8214, 6.4037, 4.7452, 4.8666]",,,"[231, 315, 250]","[267, 199, 151, 179]","[42, 123]","[500, 297]",,0,,,1.62,302.1079798999708,303.7240383999888,STALL→tier0→1 d_max=13
EC_n070_023_a50_068,EC,70,0.5,2,2,2206.0,2218,2,0,0.5410279531109108,2,722,0,65,315,"[4.4274, 7.5454, 5.6854]","[7.8965, 6.946, 4.5654, 3.4443]",,,"[179, 288, 254]","[265, 181, 136, 139]","[42, 123]","[500, 222]",,0,,,1.93,302.2825191000011,607.9402471999638,STALL→tier1→2 d_max=18
