instance,family,obj,published_ub,published_gap_pct,lb2_floor,min_ub,new_gap_pct
C_n050_003_a25_007,C,994.0,995.0,0.1005,1252,995.0,0.10050251256281408
C_n050_003_a50_008,C,1362.0,1363.0,0.0734,1584,1363.0,0.07336757153338225
C_n050_003_a75_009,C,1595.0,1595.0,0.0,1606,1595.0,0.0
C_n050_004_a25_010,C,1242.0,1243.0,0.0805,1699,1243.0,0.08045052292839903
C_n050_004_a50_011,C,2016.0,2017.0,0.0496,2064,2017.0,0.04957858205255329
C_n050_004_a75_012,C,2062.0,2062.0,0.0,2066,2062.0,0.0
C_n050_005_a25_013,C,1077.0,1078.0,0.0928,1324,1078.0,0.0927643784786642
C_n050_005_a50_014,C,1684.0,1684.0,0.0,1740,1684.0,0.0
C_n050_005_a75_015,C,1737.0,1737.0,0.0,1751,1737.0,0.0
C_n055_006_a25_016,C,975.0,975.0,0.0,1114,975.0,0.0
C_n055_006_a50_017,C,1540.0,1540.0,0.0,1590,1540.0,0.0
C_n055_006_a75_018,C,1589.0,1589.0,0.0,1603,1589.0,0.0
C_n055_007_a25_019,C,804.0,804.0,0.0,1268,804.0,0.0
C_n055_007_a50_020,C,1368.0,1368.0,0.0,1626,1368.0,0.0
C_n055_007_a75_021,C,1623.0,1623.0,0.0,1629,1623.0,0.0
C_n055_008_a25_022,C,1004.0,1004.0,0.0,1274,1004.0,0.0
C_n055_008_a50_023,C,1381.0,1382.0,0.0724,1605,1382.0,0.0723589001447178
C_n055_008_a75_024,C,1617.0,1617.0,0.0,1629,1617.0,0.0
C_n055_009_a25_025,C,1353.0,1354.0,0.0739,1910,1354.0,0.07385524372230429
C_n055_009_a50_026,C,2225.0,2226.0,0.0449,2375,2226.0,0.04492362982929021
C_n055_009_a75_027,C,2373.0,2373.0,0.0,2377,2373.0,0.0
C_n055_010_a25_028,C,1186.0,1187.0,0.0842,1433,1187.0,0.08424599831508003
C_n055_010_a50_029,C,1894.0,1894.0,0.0,2051,1894.0,0.0
C_n055_010_a75_030,C,2048.0,2048.0,0.0,2062,2048.0,0.0
C_n060_011_a25_031,C,1212.0,1213.0,0.0824,1563,1213.0,0.08244023083264633
C_n060_011_a50_032,C,1664.0,1664.0,0.0,1713,1664.0,0.0
C_n060_011_a75_033,C,1713.0,1713.0,0.0,1716,1713.0,0.0
C_n060_012_a25_034,C,1113.0,1115.0,0.1794,1699,1115.0,0.17937219730941703
C_n060_012_a50_035,C,1731.0,1731.0,0.0,1758,1731.0,0.0
C_n060_012_a75_036,C,1759.0,1759.0,0.0,1760,1759.0,0.0
C_n060_013_a25_037,C,1294.0,1294.0,0.0,1543,1294.0,0.0
C_n060_013_a50_038,C,1784.0,1786.0,0.112,2016,1786.0,0.11198208286674133
C_n060_013_a75_039,C,2019.0,2019.0,0.0,2039,2019.0,0.0
C_n060_014_a25_040,C,1544.0,1545.0,0.0647,2131,1545.0,0.06472491909385113
C_n060_014_a50_041,C,2341.0,2341.0,0.0,2478,2341.0,0.0
C_n060_014_a75_042,C,2476.0,2476.0,0.0,2481,2476.0,0.0
C_n060_015_a25_043,C,1466.0,1468.0,0.1362,1854,1468.0,0.13623978201634876
C_n060_015_a50_044,C,2123.0,2123.0,0.0,2192,2123.0,0.0
C_n060_015_a75_045,C,2190.0,2190.0,0.0,2202,2190.0,0.0
C_n065_016_a25_046,C,1312.0,1313.0,0.0762,1673,1313.0,0.07616146230007616
C_n065_016_a50_047,C,1863.0,1863.0,0.0,1923,1863.0,0.0
C_n065_016_a75_048,C,1924.0,1924.0,0.0,1928,1924.0,0.0
C_n065_017_a25_049,C,1302.0,1303.0,0.0767,1909,1303.0,0.07674597083653108
C_n065_017_a50_050,C,1930.0,1930.0,0.0,1969,1930.0,0.0
C_n065_017_a75_051,C,1971.0,1971.0,0.0,1972,1971.0,0.0
